frequency;V(/pifilter/aus)5;V(/pifilter/aus)9;
1;94.3128;12.2397;
1.25893;95.4231;10.254;
1.58489;96.815;8.27663;
1.99526;98.5558;6.31224;
2.51189;100.725;4.3681;
3.16228;103.411;2.45518;
3.98107;106.708;0.589712;
5.01187;110.701;-1.20525;
6.30957;115.442;-2.89891;
7.94328;120.918;-4.45374;
10;127.016;-5.83013;
12.5893;133.507;-6.99514;
15.8489;140.076;-7.9325;
19.9526;146.387;-8.64852;
25.1189;152.165;-9.16973;
31.6228;157.246;-9.53401;
39.8107;161.574;-9.78063;
50.1187;165.177;-9.94377;
63.0957;168.128;-10.05;
79.4328;170.519;-10.1183;
100;172.443;-10.162;
125.893;173.983;-10.1898;
158.489;175.213;-10.2074;
199.526;176.193;-10.2186;
251.189;176.972;-10.2256;
316.228;177.591;-10.2301;
398.107;178.083;-10.2329;
501.187;178.473;-10.2347;
630.957;178.782;-10.2358;
794.328;179.026;-10.2365;
1000;179.218;-10.237;
1258.93;179.369;-10.2372;
1584.89;179.486;-10.2374;
1995.26;179.575;-10.2375;
2511.89;179.642;-10.2376;
3162.28;179.69;-10.2377;
3981.07;179.721;-10.2377;
5011.87;179.738;-10.2377;
6309.57;179.741;-10.2377;
7943.28;179.729;-10.2377;
10000;179.704;-10.2377;
12589.3;179.663;-10.2377;
15848.9;179.603;-10.2378;
19952.6;179.523;-10.2378;
25118.9;179.417;-10.2378;
31622.8;179.28;-10.2378;
39810.7;179.105;-10.2379;
50118.7;178.882;-10.238;
63095.7;178.599;-10.2382;
79432.8;178.242;-10.2384;
100000;177.791;-10.2388;
125893;177.223;-10.2395;
158489;176.506;-10.2405;
199526;175.603;-10.2421;
251189;174.464;-10.2447;
316228;173.03;-10.2489;
398107;171.221;-10.2555;
501187;168.938;-10.2663;
630957;166.053;-10.2837;
794328;162.403;-10.3126;
1e+06;157.771;-10.3612;
